mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.9353835582733154,0.12087419379497678,0.0011734485626220704,0.00037434187279112424,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9997616460845073,0.9782946838386172,0.9914859692013598,0.9998218639711373,0.9510911791655375,0.9840910684522317,0.01827730973419924,1,-1093.7956683246318,-11249.065483306706,-10903.759684671526,-1241.7871947574477,-6758.872198711681,-6249.456045954398,4440.173937062319,11
0.7181000232696533,0.03095809844640911,0.0009658336639404297,5.15868610670889e-05,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9997611159860176,0.978293995488544,0.9914860047509447,0.9998218764737498,0.9510888616063736,0.9840903708611259,0.018278104402770782,2,-1095.0112921782986,-11249.243855130471,-10903.736920804176,-1241.7436161039764,-6759.032332409214,-6249.753603325227,4439.940554728219,12
0.3321070194244385,0.03693779310692165,0.0010227680206298829,9.699334308728854e-05,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9997630058110536,0.978292166918942,0.9914921889809027,0.9998212834281932,0.951063154201664,0.9840863598681511,0.018288226468034238,3,-1090.6713433998407,-11249.71767775748,-10899.776179469489,-1243.8090327705374,-6760.808352758388,-6248.956517231147,4439.800339938594,9
0.2821340560913086,0.0132215214854624,0.001198148727416992,0.00036066657687766943,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9997630058110536,0.978292166918942,0.9914921889809027,0.9998212834281932,0.951063154201664,0.9840863598681511,0.018288226468034238,3,-1090.6713433998407,-11249.71767775748,-10899.776179469489,-1243.8090327705374,-6760.808352758388,-6248.956517231147,4439.800339938594,9
2.2189278602600098,0.24900431888178867,0.0010933876037597656,0.00013434196198857228,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.999785678469562,0.9778893907461724,0.9914557221739895,0.9998494001982725,0.9511803582867624,0.9840321099749518,0.01827808631619243,5,-1037.189125621492,-11353.603977862525,-10923.110913619561,-1141.7827933756591,-6752.707407948033,-6241.678843685454,4503.429536380691,2
0.7978354454040527,0.04775707601431285,0.000960540771484375,3.2346785578077746e-05,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9997856772330256,0.9778893878948028,0.9914553631547504,0.999849310754018,0.9511802052862242,0.9840319888645641,0.01827809665019414,6,-1037.1921176686994,-11353.60470993913,-10923.340398536518,-1142.121806941451,-6752.71798941711,-6241.795404500581,4503.400181397869,4
2.08691987991333,0.18219027585006345,0.0010432720184326172,2.5124567512944745e-05,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9997856740592859,0.9778894148762938,0.9914557852782041,0.9998495160704985,0.9511744163327505,0.9840309613234066,0.01828024507451479,7,-1037.1997971274209,-11353.597782557961,-10923.070576939137,-1141.343462213095,-6753.118339436211,-6241.665991654765,4503.526114153834,1
0.837125015258789,0.08919443875216655,0.001880645751953125,0.0011525983172968792,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9997856734481627,0.9778894310895626,0.9914554319842729,0.9998494123898618,0.9511745015704791,0.9840308900964679,0.01828016659636031,8,-1037.2012758477927,-11353.593619869225,-10923.296403113927,-1141.7365767524166,-6753.112444773246,-6241.788064071321,4503.48260350957,3
0.6497585773468018,0.06313669829983069,0.0011439800262451171,0.00039246390448509355,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9997839515777972,0.9778907022818836,0.9914556577917597,0.9998497327617946,0.951141221310416,0.9840242531447302,0.018291822783106516,9,-1041.359308274103,-11353.267241825088,-10923.152067063253,-1140.521419980162,-6755.413568787793,-6242.7427211860795,4502.745285569746,7
1.3989031791687012,0.06300766264197656,0.0010400772094726562,3.7250291732822637e-05,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9997838200709475,0.9778905607393326,0.9914560334386606,0.9998498036603034,0.951139834990312,0.9840240105799112,0.018292350842604176,10,-1041.6761933676953,-11353.30358327419,-10922.911949496363,-1140.2523300271637,-6755.509407237523,-6242.730692680588,4502.693576582618,6
0.6306655883789063,0.06813720391114678,0.0011094093322753906,0.0002843337791996169,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9997838539317102,0.9778909382730773,0.9914556848438525,0.999849746521222,0.9511391521252729,0.984023875139027,0.01829253866653504,11,-1041.5946100962583,-11353.206650161963,-10923.13477524894,-1140.4692020742605,-6755.556614252449,-6242.792370366774,4502.688667074774,8
